division,district,cases,location
Dhaka,Dhaka (District) ,48,
Dhaka,Gazipur ,269,
Dhaka,Kishoreganj ,146,
Dhaka,Madaripur ,26,
Dhaka,Manikganj ,9,
Dhaka,Narayanganj ,469,
Dhaka,Munshigonj ,54,
Dhaka,Narshingdi ,136,
Dhaka,Rajbari ,10,
Dhaka,Faridpur ,5,
Dhaka,Tangail ,13,
Dhaka,Shariatpur ,8,
Dhaka,Gopalganj ,30,
Chattogram ,Chattogram ,41,
Chattogram ,Cox’s bazar ,5,
Chattogram ,Cumilla ,25,
Chattogram ,B. Baria ,11,
Chattogram ,Laksmipur ,25,
Chattogram ,Bandarban ,1,
Chattogram ,Noakhali ,4,
Chattogram ,Feni ,3,
Chattogram ,Chandpur ,10,
Sylhet ,Moulovi Bazar ,2,
Sylhet ,Sunamganj ,1,
Sylhet ,Hobiganj ,11,
Sylhet ,Sylhet ,4,
Rangpur ,Rangpur ,7,
Rangpur ,Gaibandha ,13,
Rangpur ,Nilphamari ,9,
Rangpur ,Lalmonirhat ,2,
Rangpur ,Kurigram ,3,
Rangpur ,Dinajpur ,11,
Rangpur ,Panchagar ,1,
Rangpur ,Thakurgaon ,6,
Khulna ,Khulna ,3,
Khulna ,Jessore ,1,
Khulna ,Bagerhat ,1,
Khulna ,Narail ,2,
Khulna ,Chuadanga ,2,
Mymensingh ,Mymensingh ,40,
Mymensingh ,Jamalpur ,22,
Mymensingh ,Netrokona ,18,
Mymensingh ,Sherpur ,19,
Barishal ,Barguna ,17,
Barishal ,Barishal ,32,
Barishal ,Potuakhali ,7,
Barishal ,Pirojpur ,5,
Barishal ,Jhalokathi ,4,
Rajshahi ,Joypurhat ,3,
Rajshahi ,Pabna ,3,
Rajshahi ,Chapainawabganj ,1,
Rajshahi ,Bogra ,2,
Rajshahi ,Naogaon ,1,
Rajshahi ,Sirajganj ,2,
Rajshahi ,Rajshahi ,9,
Dhaka,Dhaka City,5,Adabor 
Dhaka,Dhaka City,5,Agargaon 
Dhaka,Dhaka City,1,Aminbazar 
Dhaka,Dhaka City,1,Amlapara 
Dhaka,Dhaka City,1,Armanitola 
Dhaka,Dhaka City,1,Ashkona 
Dhaka,Dhaka City,15,Azimpur 
Dhaka,Dhaka City,11,Babu Bazar 
Dhaka,Dhaka City,9,Badda 
Dhaka,Dhaka City,3,Baily Road 
Dhaka,Dhaka City,1,Banasree 
Dhaka,Dhaka City,8,Banani 
Dhaka,Dhaka City,1,Banglamotor 
Dhaka,Dhaka City,31,Bangshal 
Dhaka,Dhaka City,1,Banianagar 
Dhaka,Dhaka City,19,Basabo 
Dhaka,Dhaka City,6,Bashundhora 
Dhaka,Dhaka City,1,Begunbari 
Dhaka,Dhaka City,1,Begum Bazar 
Dhaka,Dhaka City,1,Beribadh 
Dhaka,Dhaka City,1,Bokshi Bazar 
Dhaka,Dhaka City,1,Bosila 
Dhaka,Dhaka City,1,Buet Area 
Dhaka,Dhaka City,2,Cantonment 
Dhaka,Dhaka City,1,Central Road 
